"","word","n"
"1162","masa",1
"1163","mascotas",1
"1164","mata",1
"1165","mataba",1
"1166","matado",1
"1167","mataran",1
"1168","mataron",1
"1169","matas",1
"1170","mate",1
"1171","mayoría",1
"1172","medias",1
"1173","médica",1
"1174","medicos",1
"1175","medidas",1
"1176","medios",1
"1177","medirse",1
"1178","menor",1
"1179","menospresiando",1
"1180","mentalmente",1
"1181","mentiras",1
"1182","merecía",1
"1183","merecían",1
"1184","mes",1
"1185","mete",1
"1186","meten",1
"1187","metió",1
"1188","mide",1
"1189","miedo",1
"1190","miembros",1
"1191","mienten",1
"1192","mierd",1
"1193","mierdas",1
"1194","miles",1
"1195","minimizado",1
"1196","ministra",1
"1197","ministros",1
"1198","mirá",1
"1199","mirar",1
"1200","mmmm",1
"1201","momentos",1
"1202","monstruo",1
"1203","monton",1
"1204","morder",1
"1205","moria",1
"1206","morir",1
"1207","motivo",1
"1208","muestran",1
"1209","mueven",1
"1210","muni",1
"1211","muñecos",1
"1212","murio",1
"1213","narcos",1
"1214","natural",1
"1215","nda",1
"1216","ndie",1
"1217","necesitaba",1
"1218","nefasta",1
"1219","negó",1
"1220","nene",1
"1221","nesecitaba",1
"1222","neuronas",1
"1223","neuropsiquiátrico",1
"1224","ningun",1
"1225","noción",1
"1226","nomás",1
"1227","nombramiento",1
"1228","nombres",1
"1229","nombró",1
"1230","nooo",1
"1231","nosocomio",1
"1232","notas",1
"1233","noticias",1
"1234","numerar",1
"1235","ño",1
"1236","ñoqui",1
"1237","obligatorio",1
"1238","obras",1
"1239","obvio",1
"1240","ocote",1
"1241","ocupar",1
"1242","ocupe",1
"1243","ocurren",1
"1244","ocurriendo",1
"1245","ocurrirar",1
"1246","ocurriría",1
"1247","oficiales",1
"1248","ofrece",1
"1249","ojala",1
"1250","opina",1
"1251","opinamos",1
"1252","opinen",1
"1253","opiniones",1
"1254","opinólogos",1
"1255","oponión",1
"1256","oportunidad",1
"1257","or",1
"1258","órdenes",1
"1259","otrogadas",1
"1260","pa",1
"1261","pacientes",1
"1262","pague",1
"1263","pais.le",1
"1264","palabra",1
"1265","palabras",1
"1266","paladín",1
"1267","palo.uno",1
"1268","panelista",1
"1269","panqueque",1
"1270","par",1
"1271","pará",1
"1272","parásito",1
"1273","parecidos",1
"1274","parlachin",1
"1275","paro",1
"1276","partido",1
"1277","pasaba",1
"1278","pasados",1
"1279","pasan",1
"1280","pasaron",1
"1281","pasas",1
"1282","patada",1
"1283","patas",1
"1284","pateo",1
"1285","patrullero",1
"1286","patrulleros",1
"1287","payasa",1
"1288","payasos",1
"1289","pcia",1
"1290","pedante",1
"1291","pedile",1
"1292","pegado",1
"1293","pego",1
"1294","pelando",1
"1295","peleaba",1
"1296","peliando",1
"1297","peligrosa",1
"1298","peligrosas",1
"1299","pelos",1
"1300","pelota",1
"1301","pelotudeces",1
"1302","peores",1
"1303","pérdida",1
"1304","perdon",1
"1305","peregiles",1
"1306","pericias",1
"1307","permanente",1
"1308","permanentes",1
"1309","peronista",1
"1310","perrita",1
"1311","perros",1
"1312","perseguir",1
"1313","pésimas",1
"1314","pibe",1
"1315","pidiendo",1
"1316","piensan",1
"1317","piensen",1
"1318","pienso",1
"1319","pierde",1
"1320","pintado",1
"1321","pipeta",1
"1322","pistolas",1
"1323","plana",1
"1324","planeros",1
"1325","planta",1
"1326","plena",1
"1327","pobrecito",1
"1328","poderosa",1
"1329","podes",1
"1330","podian",1
"1331","podían",1
"1332","podrías",1
"1333","podrida",1
"1334","policiaaa",1
"1335","policiales",1
"1336","polis",1
"1337","pondría",1
"1338","pone",1
"1339","ponele",1
"1340","populistas",1
"1341","poquito",1
"1342","porteña",1
"1343","posiblemente",1
"1344","posición",1
"1345","pq",1
"1346","pregunta",1
"1347","preguntamos",1
"1348","preguntan",1
"1349","preguntar",1
"1350","preguntaria",1
"1351","preguntarle",1
"1352","preguntas",1
"1353","preicupan",1
"1354","premian",1
"1355","prendidos",1
"1356","prensa",1
"1357","preocupa",1
"1358","preocupado",1
"1359","preparación",1
"1360","preparan",1
"1361","presencié",1
"1362","presente",1
"1363","presidente",1
"1364","presidentes",1
"1365","prestada",1
"1366","primavera",1
"1367","primeras",1
"1368","pro",1
"1369","procede.es",1
"1370","proceder",1
"1371","procedimiento",1
"1372","procedimiento.vamos",1
"1373","procedimientos",1
"1374","produjo",1
"1375","prójimo",1
"1376","propone",1
"1377","proponemos",1
"1378","proteja",1
"1379","protejer",1
"1380","provocó",1
"1381","proyectos",1
"1382","psicólogo",1
"1383","psicólogos",1
"1384","psiquiatra",1
"1385","psiquiatras",1
"1386","psiquiatría",1
"1387","psiquiatrica",1
"1388","psiquiátrico",1
"1389","psiquicamente",1
"1390","psquiatricos",1
"1391","pública",1
"1392","públicos",1
"1393","pudieron",1
"1394","pueblos",1
"1395","puedemos",1
"1396","puesta",1
"1397","pulso",1
"1398","punto",1
"1399","pura",1
"1400","purga",1
"1401","puso",1
"1402","quedaba",1
"1403","quedas",1
"1404","quede",1
"1405","quedo",1
"1406","quejan",1
"1407","quejas",1
"1408","quenotienecara",1
"1409","querer",1
"1410","querían",1
"1411","querido",1
"1412","quetejedi",1
"1413","quiebra",1
"1414","quiero",1
"1415","quisiera",1
"1416","quitarles",1
"1417","qvle",1
"1418","r1ilyx23vmgax",1
"1419","racional",1
"1420","rascaaan",1
"1421","rascan",1
"1422","rata",1
"1423","ratis",1
"1424","re",1
"1425","reales",1
"1426","realistas",1
"1427","recarga",1
"1428","recaudar",1
"1429","recién",1
"1430","recistis",1
